origin,55,30,25
vertex,172,-0.23,0.85,0.22
vertex,173,-0.20,0.76,0.12
vertex,174,-0.19,0.72,0.00
vertex,175,-0.20,0.76,-0.12
vertex,176,-0.23,0.85,-0.22
vertex,177,-0.26,0.97,-0.25
vertex,178,-0.29,1.09,-0.22
vertex,179,-0.31,1.18,-0.12
vertex,180,-0.48,1.15,0.00
vertex,181,-0.47,1.12,0.12
vertex,182,-0.43,1.04,0.22
vertex,183,-0.38,0.92,0.25
vertex,184,-0.33,0.81,0.22
vertex,185,-0.30,0.72,0.12
vertex,186,-0.29,0.69,0.00
vertex,187,-0.30,0.72,-0.12
vertex,188,-0.33,0.81,-0.22
vertex,189,-0.38,0.92,-0.25
vertex,190,-0.43,1.04,-0.22
vertex,191,-0.47,1.12,-0.12
vertex,192,-0.62,1.08,0.00
vertex,193,-0.61,1.05,0.12
vertex,194,-0.56,0.97,0.22
vertex,195,-0.50,0.87,0.25
vertex,196,-0.44,0.76,0.22
vertex,197,-0.39,0.68,0.12
vertex,198,-0.37,0.65,0.00
vertex,199,-0.39,0.68,-0.12
vertex,200,-0.44,0.76,-0.22
vertex,201,-0.50,0.87,-0.25
vertex,202,-0.56,0.97,-0.22
vertex,203,-0.61,1.05,-0.12
vertex,204,-0.76,0.99,0.00
vertex,205,-0.74,0.97,0.12
vertex,206,-0.68,0.89,0.22
vertex,207,-0.61,0.79,0.25
vertex,208,-0.53,0.69,0.22
vertex,209,-0.48,0.62,0.12
vertex,210,-0.46,0.60,0.00
vertex,211,-0.48,0.62,-0.12
vertex,212,-0.53,0.69,-0.22
vertex,213,-0.61,0.79,-0.25
vertex,214,-0.68,0.89,-0.22
vertex,215,-0.74,0.97,-0.12
vertex,216,-0.88,0.88,0.00
vertex,217,-0.86,0.86,0.12
vertex,218,-0.80,0.80,0.22
vertex,219,-0.71,0.71,0.25
vertex,220,-0.62,0.62,0.22
vertex,221,-0.55,0.55,0.12
vertex,222,-0.53,0.53,0.00
vertex,223,-0.55,0.55,-0.12
vertex,224,-0.62,0.62,-0.22
vertex,225,-0.71,0.71,-0.25
vertex,226,-0.80,0.80,-0.22
vertex,227,-0.86,0.86,-0.12
vertex,228,-0.99,0.76,0.00
vertex,229,-0.97,0.74,0.12
vertex,230,-0.89,0.68,0.22
vertex,231,-0.79,0.61,0.25
vertex,232,-0.69,0.53,0.22
vertex,233,-0.62,0.48,0.12
vertex,234,-0.60,0.46,0.00
vertex,235,-0.62,0.48,-0.12
vertex,236,-0.69,0.53,-0.22
vertex,237,-0.79,0.61,-0.25
vertex,238,-0.89,0.68,-0.22
vertex,239,-0.97,0.74,-0.12
vertex,240,-1.08,0.63,0.00
vertex,241,-1.05,0.61,0.12
vertex,242,-0.97,0.56,0.22
vertex,243,-0.87,0.50,0.25
vertex,244,-0.76,0.44,0.22
vertex,245,-0.68,0.39,0.12
vertex,246,-0.65,0.38,0.00
vertex,247,-0.68,0.39,-0.12
vertex,248,-0.76,0.44,-0.22
vertex,249,-0.87,0.50,-0.25
vertex,250,-0.97,0.56,-0.22
vertex,251,-1.05,0.61,-0.12
vertex,252,-1.15,0.48,0.00
vertex,253,-1.12,0.47,0.12
vertex,254,-1.04,0.43,0.22
vertex,255,-0.92,0.38,0.25
vertex,256,-0.81,0.33,0.22
vertex,257,-0.72,0.30,0.12
vertex,258,-0.69,0.29,0.00
vertex,259,-0.72,0.30,-0.12
vertex,260,-0.81,0.33,-0.22
vertex,261,-0.92,0.38,-0.25
vertex,262,-1.04,0.43,-0.22
vertex,263,-1.12,0.47,-0.12
vertex,264,-1.21,0.32,0.00
vertex,265,-1.18,0.31,0.12
vertex,266,-1.09,0.29,0.22
vertex,267,-0.97,0.26,0.25
vertex,268,-0.85,0.23,0.22
vertex,269,-0.76,0.20,0.12
vertex,270,-0.72,0.19,0.00
vertex,271,-0.76,0.20,-0.12
vertex,272,-0.85,0.23,-0.22
vertex,273,-0.97,0.26,-0.25
vertex,274,-1.09,0.29,-0.22
vertex,275,-1.18,0.31,-0.12
vertex,276,-1.24,0.16,0.00
vertex,277,-1.21,0.16,0.12
vertex,278,-1.12,0.15,0.22
vertex,279,-0.99,0.13,0.25
vertex,280,-0.87,0.11,0.22
vertex,281,-0.78,0.10,0.12
vertex,282,-0.74,0.10,0.00
vertex,283,-0.78,0.10,-0.12
vertex,284,-0.87,0.11,-0.22
vertex,285,-0.99,0.13,-0.25
vertex,286,-1.12,0.15,-0.22
vertex,287,-1.21,0.16,-0.12
vertex,288,-1.25,0.00,0.00
vertex,289,-1.22,0.00,0.12
vertex,290,-1.12,0.00,0.22
vertex,291,-1.00,0.00,0.25
vertex,292,-0.88,0.00,0.22
vertex,293,-0.78,0.00,0.12
vertex,294,-0.75,0.00,0.00
vertex,295,-0.78,0.00,-0.12
vertex,296,-0.88,0.00,-0.22
vertex,297,-1.00,0.00,-0.25
